artifact,exists,rows,columns,dictionary,dictionary_exists,download_href
data/derived/qc/inei_population/contract_fingerprint_baseline.csv,FALSE,,,data/derived/qc/inei_population/contract_fingerprint_baseline_diccionario_ext.csv,FALSE,
data/derived/qc/inei_population/contract_fingerprint_post.csv,TRUE,1,17,data/derived/qc/inei_population/contract_fingerprint_post_diccionario_ext.csv,TRUE,../../downloads/contract_fingerprint_post.csv
data/derived/qc/inei_population/qc_summary.csv,TRUE,1,25,data/derived/qc/inei_population/qc_summary_diccionario_ext.csv,TRUE,../../downloads/qc_summary.csv
data/derived/qc/inei_population/qc_duplicates.csv,TRUE,0,5,data/derived/qc/inei_population/qc_duplicates_diccionario_ext.csv,TRUE,../../downloads/qc_duplicates.csv
data/derived/qc/inei_population/qc_missing_required.csv,TRUE,5,3,data/derived/qc/inei_population/qc_missing_required_diccionario_ext.csv,TRUE,../../downloads/qc_missing_required.csv
data/derived/qc/inei_population/qc_negative_population.csv,TRUE,0,5,data/derived/qc/inei_population/qc_negative_population_diccionario_ext.csv,TRUE,../../downloads/qc_negative_population.csv
data/derived/qc/inei_population/qc_tail_monotone_flags.csv,TRUE,0,4,data/derived/qc/inei_population/qc_tail_monotone_flags_diccionario_ext.csv,TRUE,../../downloads/qc_tail_monotone_flags.csv
data/derived/qc/inei_population/qc_tail_mass_80plus_exact.csv,TRUE,1872,7,data/derived/qc/inei_population/qc_tail_mass_80plus_exact_diccionario_ext.csv,TRUE,../../downloads/qc_tail_mass_80plus_exact.csv
data/derived/qc/inei_population/qc_tail_cap_125_national.csv,TRUE,72,6,data/derived/qc/inei_population/qc_tail_cap_125_national_diccionario_ext.csv,TRUE,../../downloads/qc_tail_cap_125_national.csv
data/derived/qc/inei_population/qc_crossrepo_110plus_coherence.csv,TRUE,1872,13,data/derived/qc/inei_population/qc_crossrepo_110plus_coherence_diccionario_ext.csv,TRUE,../../downloads/qc_crossrepo_110plus_coherence.csv
data/derived/qc/inei_population/qc_crossrepo_mass_adjustment.csv,TRUE,1,7,data/derived/qc/inei_population/qc_crossrepo_mass_adjustment_diccionario_ext.csv,TRUE,../../downloads/qc_crossrepo_mass_adjustment.csv
data/derived/qc/inei_population/qc_tail_external_alignment_national.csv,TRUE,86112,15,data/derived/qc/inei_population/qc_tail_external_alignment_national_diccionario_ext.csv,TRUE,../../downloads/qc_tail_external_alignment_national.csv
data/derived/qc/inei_population/qc_tail_share_110plus.csv,TRUE,1872,13,data/derived/qc/inei_population/qc_tail_share_110plus_diccionario_ext.csv,TRUE,../../downloads/qc_tail_share_110plus.csv
data/derived/qc/inei_population/qc_tail_visual_priority.csv,TRUE,50,15,data/derived/qc/inei_population/qc_tail_visual_priority_diccionario_ext.csv,TRUE,../../downloads/qc_tail_visual_priority.csv
data/derived/qc/inei_population/qc_tail_benchmark_source_by_stratum.csv,TRUE,1872,9,data/derived/qc/inei_population/qc_tail_benchmark_source_by_stratum_diccionario_ext.csv,TRUE,../../downloads/qc_tail_benchmark_source_by_stratum.csv
data/derived/qc/inei_population/qc_tail_open_interval_exclusion.csv,TRUE,1872,10,data/derived/qc/inei_population/qc_tail_open_interval_exclusion_diccionario_ext.csv,TRUE,../../downloads/qc_tail_open_interval_exclusion.csv
data/derived/qc/inei_population/qc_110plus_collapse_exact.csv,TRUE,1872,9,data/derived/qc/inei_population/qc_110plus_collapse_exact_diccionario_ext.csv,TRUE,../../downloads/qc_110plus_collapse_exact.csv
data/derived/qc/inei_population/qc_national_vs_dept_sum.csv,TRUE,7992,9,data/derived/qc/inei_population/qc_national_vs_dept_sum_diccionario_ext.csv,TRUE,../../downloads/qc_national_vs_dept_sum.csv
data/derived/qc/inei_population/hierarchical/qc_hierarchical_summary.csv,TRUE,1,9,data/derived/qc/inei_population/hierarchical/qc_hierarchical_summary_diccionario_ext.csv,TRUE,../../downloads/qc_hierarchical_summary.csv
data/derived/qc/inei_population/hierarchical/qc_hierarchical_missing_required.csv,TRUE,5,2,data/derived/qc/inei_population/hierarchical/qc_hierarchical_missing_required_diccionario_ext.csv,TRUE,../../downloads/qc_hierarchical_missing_required.csv
data/derived/qc/inei_population/hierarchical/qc_hierarchical_duplicates.csv,TRUE,0,5,data/derived/qc/inei_population/hierarchical/qc_hierarchical_duplicates_diccionario_ext.csv,TRUE,../../downloads/qc_hierarchical_duplicates.csv
data/derived/qc/inei_population/hierarchical/qc_hierarchical_negative_population.csv,TRUE,0,5,data/derived/qc/inei_population/hierarchical/qc_hierarchical_negative_population_diccionario_ext.csv,TRUE,../../downloads/qc_hierarchical_negative_population.csv
data/derived/qc/inei_population/hierarchical/qc_hierarchical_national_additive_check.csv,TRUE,7992,8,data/derived/qc/inei_population/hierarchical/qc_hierarchical_national_additive_check_diccionario_ext.csv,TRUE,../../downloads/qc_hierarchical_national_additive_check.csv
data/derived/qc/inei_population/dictionary_coverage_summary.csv,TRUE,37,9,data/derived/qc/inei_population/dictionary_coverage_summary_diccionario_ext.csv,TRUE,../../downloads/dictionary_coverage_summary.csv
data/_catalog/catalogo_artefactos.csv,TRUE,99,12,data/_catalog/catalogo_artefactos_diccionario_ext.csv,TRUE,../../downloads/catalogo_artefactos.csv
data/_catalog/provenance_runs.csv,TRUE,5,7,data/_catalog/provenance_runs_diccionario_ext.csv,TRUE,../../downloads/provenance_runs.csv
reports/qc_demografia_poblacion/downloads/qc_observed_vs_final.csv,TRUE,207792,15,reports/qc_demografia_poblacion/downloads/qc_observed_vs_final_diccionario_ext.csv,TRUE,../../downloads/qc_observed_vs_final.csv
reports/qc_demografia_poblacion/downloads/qc_extrapolated_80_125.csv,TRUE,95472,19,reports/qc_demografia_poblacion/downloads/qc_extrapolated_80_125_diccionario_ext.csv,TRUE,../../downloads/qc_extrapolated_80_125.csv
reports/qc_demografia_poblacion/downloads/qc_tail_mass_80plus_exact.csv,TRUE,1872,7,reports/qc_demografia_poblacion/downloads/qc_tail_mass_80plus_exact_diccionario_ext.csv,TRUE,../../downloads/qc_tail_mass_80plus_exact.csv
reports/qc_demografia_poblacion/downloads/qc_tail_cap_125_national.csv,TRUE,72,6,reports/qc_demografia_poblacion/downloads/qc_tail_cap_125_national_diccionario_ext.csv,TRUE,../../downloads/qc_tail_cap_125_national.csv
reports/qc_demografia_poblacion/downloads/qc_tail_external_alignment_national.csv,TRUE,86112,15,reports/qc_demografia_poblacion/downloads/qc_tail_external_alignment_national_diccionario_ext.csv,TRUE,../../downloads/qc_tail_external_alignment_national.csv
reports/qc_demografia_poblacion/downloads/qc_tail_share_110plus.csv,TRUE,1872,13,reports/qc_demografia_poblacion/downloads/qc_tail_share_110plus_diccionario_ext.csv,TRUE,../../downloads/qc_tail_share_110plus.csv
reports/qc_demografia_poblacion/downloads/qc_tail_visual_priority.csv,TRUE,50,15,reports/qc_demografia_poblacion/downloads/qc_tail_visual_priority_diccionario_ext.csv,TRUE,../../downloads/qc_tail_visual_priority.csv
reports/qc_demografia_poblacion/downloads/qc_110plus_collapse_exact.csv,TRUE,1872,9,reports/qc_demografia_poblacion/downloads/qc_110plus_collapse_exact_diccionario_ext.csv,TRUE,../../downloads/qc_110plus_collapse_exact.csv
reports/qc_demografia_poblacion/downloads/qc_national_modes.csv,TRUE,7992,11,reports/qc_demografia_poblacion/downloads/qc_national_modes_diccionario_ext.csv,TRUE,../../downloads/qc_national_modes.csv
reports/qc_demografia_poblacion/downloads/qc_glossary.csv,TRUE,27,3,reports/qc_demografia_poblacion/downloads/qc_glossary_diccionario_ext.csv,TRUE,../../downloads/qc_glossary.csv
reports/qc_demografia_poblacion/downloads/qc_observed_vs_final_manifest.csv,TRUE,1872,7,reports/qc_demografia_poblacion/downloads/qc_observed_vs_final_manifest_diccionario_ext.csv,TRUE,../../downloads/qc_observed_vs_final_manifest.csv
reports/qc_demografia_poblacion/downloads/qc_extrapolated_80_125_manifest.csv,TRUE,1872,7,reports/qc_demografia_poblacion/downloads/qc_extrapolated_80_125_manifest_diccionario_ext.csv,TRUE,../../downloads/qc_extrapolated_80_125_manifest.csv
reports/qc_demografia_poblacion/downloads/qc_110plus_collapse_manifest.csv,TRUE,1,2,reports/qc_demografia_poblacion/downloads/qc_110plus_collapse_manifest_diccionario_ext.csv,TRUE,../../downloads/qc_110plus_collapse_manifest.csv
reports/qc_demografia_poblacion/downloads/qc_national_modes_manifest.csv,TRUE,72,5,reports/qc_demografia_poblacion/downloads/qc_national_modes_manifest_diccionario_ext.csv,TRUE,../../downloads/qc_national_modes_manifest.csv
